STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",29/02/1960,0,0,305,-6.7,-17.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/03/1960,0,0,279,-3.3,-22.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/03/1960,0,0,279,-5.6,-15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/03/1960,5.3,76,356,-4.4,-9.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/03/1960,0.3,0,356,-8.9,-18.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",05/03/1960,0,0,356,-9.4,-22.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",06/03/1960,0,0,330,-6.7,-25.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",07/03/1960,2,41,381,-6.7,-21.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",08/03/1960,0,0,381,-3.9,-21.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",09/03/1960,1.3,18,381,-3.9,-7.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",10/03/1960,1,25,406,-2.2,-17.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",11/03/1960,0.5,0,381,-3.9,-8.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",12/03/1960,1.5,33,406,1.7,-23.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",13/03/1960,0,0,406,-1.1,-11.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",14/03/1960,0,0,356,-1.1,-20
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",15/03/1960,0,0,330,-0.6,-13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",16/03/1960,3,109,432,-1.1,-5.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",17/03/1960,2,28,432,-1.7,-9.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",18/03/1960,0,0,406,-0.6,-14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",19/03/1960,0.5,0,381,-0.6,-6.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",20/03/1960,0,0,356,0,-8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",21/03/1960,0,0,279,1.1,-13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",22/03/1960,0,0,229,2.8,-6.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",23/03/1960,0,0,203,0,-12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",24/03/1960,0,0,203,-1.1,-7.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",25/03/1960,0,0,203,-5,-15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",26/03/1960,1.3,0,178,3.9,-8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",27/03/1960,0,0,178,10.6,1.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",28/03/1960,0,0,102,7.2,0.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",29/03/1960,0,0,0,15.6,1.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",30/03/1960,9.1,0,0,13.3,3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",31/03/1960,0.5,0,0,7.2,0
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/04/1960,0,0,0,12.2,0.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/04/1960,4.8,0,0,12.8,4.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/04/1960,0,0,0,6.1,2.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/04/1960,0.5,0,0,8.9,2.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",05/04/1960,1,0,0,8.3,0
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",06/04/1960,0,0,0,15.6,0.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",07/04/1960,0,0,0,11.7,1.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",08/04/1960,0,0,0,8.9,0
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",09/04/1960,0,0,0,3.3,-3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",10/04/1960,0,0,0,8.9,-5
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",11/04/1960,0,0,0,19.4,6.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",12/04/1960,0,0,0,20,3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",13/04/1960,0,0,0,21.7,13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",14/04/1960,32.3,0,0,15.6,12.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",15/04/1960,8.4,0,0,23.9,10.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",16/04/1960,1,0,0,22.2,10.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",17/04/1960,22.4,0,0,11.1,1.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",18/04/1960,10.4,0,0,14.4,0.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",19/04/1960,0,0,0,19.4,6.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",20/04/1960,0,0,0,21.1,11.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",21/04/1960,10.9,0,0,22.2,8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",22/04/1960,0,0,0,28.3,12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",23/04/1960,0,0,0,27.8,17.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",24/04/1960,0,0,0,25.6,17.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",25/04/1960,0,0,0,25,17.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",26/04/1960,10.7,0,0,17.8,7.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",27/04/1960,0,0,0,15.6,7.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",28/04/1960,0,0,0,18.9,8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",29/04/1960,0,0,0,18.9,13.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",30/04/1960,21.1,0,0,16.7,3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",01/05/1960,2,0,0,16.7,2.2
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",02/05/1960,0,0,0,21.1,10.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",03/05/1960,0,0,0,22.8,10.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",04/05/1960,0,0,0,24.4,12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",05/05/1960,0,0,0,20.6,15.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",06/05/1960,12.7,0,0,21.1,8.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",07/05/1960,17.3,0,0,10,3.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",08/05/1960,2.8,0,0,6.1,1.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",09/05/1960,0,0,0,6.7,1.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",10/05/1960,0.3,0,0,7.8,3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",11/05/1960,0.5,0,0,15.6,2.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",12/05/1960,0,0,0,17.8,3.3
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",13/05/1960,0,0,0,22.8,6.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",14/05/1960,0,0,0,25.6,8.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",15/05/1960,0,0,0,27.2,12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",16/05/1960,5.3,0,0,21.1,13.9
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",17/05/1960,10.9,0,0,18.3,12.8
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",18/05/1960,0,0,0,17.8,11.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",19/05/1960,0,0,0,23.3,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",20/05/1960,32.3,0,0,23.9,16.1
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",21/05/1960,4.8,0,0,22.2,10.6
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",22/05/1960,2.3,0,0,23.9,14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",23/05/1960,0,0,0,24.4,14.4
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",24/05/1960,0,0,0,23.9,15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",25/05/1960,18.3,0,0,22.2,11.7
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",26/05/1960,3,0,0,20.6,15
USC00134705,"LE CLAIRE LOCK AND DAM 14, IA US",27/05/1960,0.5,0,0,21.1,13.3
