STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00131442,"CHEROKEE, IA US",17/03/1960,0,0,152,-1.1,-14.4
USC00131442,"CHEROKEE, IA US",18/03/1960,0,0,152,1.1,-12.2
USC00131442,"CHEROKEE, IA US",19/03/1960,1,13,152,0,-3.9
USC00131442,"CHEROKEE, IA US",20/03/1960,0,0,152,-1.7,-11.1
USC00131442,"CHEROKEE, IA US",21/03/1960,0,0,127,2.2,-13.3
USC00131442,"CHEROKEE, IA US",22/03/1960,0,0,102,1.7,-10
USC00131442,"CHEROKEE, IA US",23/03/1960,0,0,102,1.7,-10.6
USC00131442,"CHEROKEE, IA US",24/03/1960,0,0,102,1.7,-12.8
USC00131442,"CHEROKEE, IA US",25/03/1960,1,18,102,1.7,-12.8
USC00131442,"CHEROKEE, IA US",26/03/1960,0,0,102,5.6,-7.2
USC00131442,"CHEROKEE, IA US",27/03/1960,0,0,76,9.4,1.7
USC00131442,"CHEROKEE, IA US",28/03/1960,0,0,0,8.9,-1.1
USC00131442,"CHEROKEE, IA US",29/03/1960,0,0,0,8.9,3.3
USC00131442,"CHEROKEE, IA US",30/03/1960,6.4,0,0,4.4,0
USC00131442,"CHEROKEE, IA US",31/03/1960,0,0,0,5.6,-1.7
USC00131442,"CHEROKEE, IA US",01/04/1960,4.3,0,0,6.7,2.8
USC00131442,"CHEROKEE, IA US",02/04/1960,13.5,0,0,6.1,0.6
USC00131442,"CHEROKEE, IA US",03/04/1960,0,0,0,10,0
USC00131442,"CHEROKEE, IA US",04/04/1960,1.8,0,0,7.2,1.1
USC00131442,"CHEROKEE, IA US",05/04/1960,0,0,0,8.9,-2.2
USC00131442,"CHEROKEE, IA US",06/04/1960,0,0,0,13.3,3.9
USC00131442,"CHEROKEE, IA US",07/04/1960,0,0,0,10.6,0
USC00131442,"CHEROKEE, IA US",08/04/1960,0,0,0,7.2,-2.2
USC00131442,"CHEROKEE, IA US",09/04/1960,0,0,0,2.8,-5.6
USC00131442,"CHEROKEE, IA US",10/04/1960,0,0,0,12.8,-5.6
USC00131442,"CHEROKEE, IA US",11/04/1960,0.5,0,0,18.3,7.2
USC00131442,"CHEROKEE, IA US",12/04/1960,0,0,0,16.7,1.1
USC00131442,"CHEROKEE, IA US",13/04/1960,25.9,0,0,18.9,10.6
USC00131442,"CHEROKEE, IA US",14/04/1960,1.8,0,0,22.8,1.1
USC00131442,"CHEROKEE, IA US",15/04/1960,0,0,0,20,10
USC00131442,"CHEROKEE, IA US",16/04/1960,0,0,0,16.7,1.7
USC00131442,"CHEROKEE, IA US",17/04/1960,1.5,0,0,10,0.6
USC00131442,"CHEROKEE, IA US",18/04/1960,0,0,0,17.8,-2.8
USC00131442,"CHEROKEE, IA US",19/04/1960,0,0,0,23.9,5.6
USC00131442,"CHEROKEE, IA US",20/04/1960,0,0,0,20,12.2
USC00131442,"CHEROKEE, IA US",21/04/1960,0,0,0,28.3,2.2
USC00131442,"CHEROKEE, IA US",22/04/1960,0,0,0,33.3,8.9
USC00131442,"CHEROKEE, IA US",23/04/1960,0,0,0,31.1,17.2
USC00131442,"CHEROKEE, IA US",24/04/1960,0,0,0,23.9,10
USC00131442,"CHEROKEE, IA US",25/04/1960,0,0,0,18.9,6.1
USC00131442,"CHEROKEE, IA US",26/04/1960,0,0,0,16.7,-1.1
USC00131442,"CHEROKEE, IA US",27/04/1960,0,0,0,14.4,1.7
USC00131442,"CHEROKEE, IA US",28/04/1960,3,0,0,18.3,5
USC00131442,"CHEROKEE, IA US",29/04/1960,7.1,0,0,10,6.1
USC00131442,"CHEROKEE, IA US",30/04/1960,0,0,0,7.8,-4.4
USC00131442,"CHEROKEE, IA US",01/05/1960,0,0,0,23.9,0.6
USC00131442,"CHEROKEE, IA US",02/05/1960,0,0,0,25.6,2.2
USC00131442,"CHEROKEE, IA US",03/05/1960,0,0,0,26.7,10
USC00131442,"CHEROKEE, IA US",04/05/1960,5.3,0,0,21.1,8.9
USC00131442,"CHEROKEE, IA US",05/05/1960,0,0,0,18.3,8.9
USC00131442,"CHEROKEE, IA US",06/05/1960,10.7,0,0,12.8,8.3
USC00131442,"CHEROKEE, IA US",07/05/1960,0,0,0,13.3,1.1
USC00131442,"CHEROKEE, IA US",08/05/1960,0,0,0,17.2,-1.7
USC00131442,"CHEROKEE, IA US",09/05/1960,0,0,0,17.8,3.3
USC00131442,"CHEROKEE, IA US",10/05/1960,0,0,0,17.8,0.6
USC00131442,"CHEROKEE, IA US",11/05/1960,0,0,0,18.9,0.6
USC00131442,"CHEROKEE, IA US",12/05/1960,0,0,0,22.2,-2.2
USC00131442,"CHEROKEE, IA US",13/05/1960,0,0,0,24.4,3.9
USC00131442,"CHEROKEE, IA US",14/05/1960,0,0,0,28.9,10
USC00131442,"CHEROKEE, IA US",15/05/1960,0,0,0,27.2,10.6
USC00131442,"CHEROKEE, IA US",16/05/1960,30,0,0,25,12.8
USC00131442,"CHEROKEE, IA US",17/05/1960,5.1,0,0,22.2,5
USC00131442,"CHEROKEE, IA US",18/05/1960,0,0,0,20.6,12.2
USC00131442,"CHEROKEE, IA US",19/05/1960,23.6,0,0,21.1,12.2
USC00131442,"CHEROKEE, IA US",20/05/1960,20.3,0,0,19.4,10
USC00131442,"CHEROKEE, IA US",21/05/1960,94.7,0,0,20.6,10.6
USC00131442,"CHEROKEE, IA US",22/05/1960,0,0,0,23.9,6.1
USC00131442,"CHEROKEE, IA US",23/05/1960,0,0,0,25.6,12.2
USC00131442,"CHEROKEE, IA US",24/05/1960,0,0,0,25.6,16.7
USC00131442,"CHEROKEE, IA US",25/05/1960,33,0,0,22.8,13.9
USC00131442,"CHEROKEE, IA US",26/05/1960,6.4,0,0,20,10.6
USC00131442,"CHEROKEE, IA US",27/05/1960,2.5,0,0,20.6,9.4
USC00131442,"CHEROKEE, IA US",28/05/1960,0,0,0,22.8,7.8
USC00131442,"CHEROKEE, IA US",29/05/1960,0,0,0,21.7,13.9
USC00131442,"CHEROKEE, IA US",30/05/1960,0,0,0,25.6,8.3
USC00131442,"CHEROKEE, IA US",31/05/1960,2.8,0,0,28.3,13.9
USC00131442,"CHEROKEE, IA US",01/06/1960,1.8,0,0,27.8,18.3
USC00131442,"CHEROKEE, IA US",02/06/1960,0,0,0,28.3,10
USC00131442,"CHEROKEE, IA US",03/06/1960,0,0,0,29.4,7.2
USC00131442,"CHEROKEE, IA US",04/06/1960,1.3,0,0,28.9,11.1
USC00131442,"CHEROKEE, IA US",05/06/1960,0,0,0,22.8,7.2
USC00131442,"CHEROKEE, IA US",06/06/1960,0,0,0,23.3,10
USC00131442,"CHEROKEE, IA US",07/06/1960,0,0,0,23.3,10
USC00131442,"CHEROKEE, IA US",08/06/1960,0,0,0,24.4,11.7
USC00131442,"CHEROKEE, IA US",09/06/1960,3.6,0,0,23.3,13.3
USC00131442,"CHEROKEE, IA US",10/06/1960,4.1,0,0,22.8,16.7
USC00131442,"CHEROKEE, IA US",11/06/1960,0,0,0,20.6,13.9
USC00131442,"CHEROKEE, IA US",12/06/1960,2,0,0,16.1,12.2
USC00131442,"CHEROKEE, IA US",13/06/1960,3,0,0,21.1,13.3
USC00131442,"CHEROKEE, IA US",14/06/1960,0,0,0,26.7,9.4
USC00131442,"CHEROKEE, IA US",15/06/1960,0,0,0,26.7,14.4
USC00131442,"CHEROKEE, IA US",16/06/1960,13.5,0,0,23.3,11.1
USC00131442,"CHEROKEE, IA US",17/06/1960,2,0,0,23.3,5
USC00131442,"CHEROKEE, IA US",18/06/1960,0,0,0,27.8,16.7
USC00131442,"CHEROKEE, IA US",19/06/1960,0,0,0,27.8,12.2
USC00131442,"CHEROKEE, IA US",20/06/1960,5.6,0,0,26.1,16.7
USC00131442,"CHEROKEE, IA US",21/06/1960,0,0,0,22.2,13.9
USC00131442,"CHEROKEE, IA US",22/06/1960,0,0,0,26.1,5.6
USC00131442,"CHEROKEE, IA US",23/06/1960,0,0,0,22.2,14.4
USC00131442,"CHEROKEE, IA US",24/06/1960,0,0,0,24.4,8.9
USC00131442,"CHEROKEE, IA US",25/06/1960,0,0,0,26.1,11.1
USC00131442,"CHEROKEE, IA US",26/06/1960,0,0,0,28.9,13.9
USC00131442,"CHEROKEE, IA US",27/06/1960,0,0,0,30,18.9
USC00131442,"CHEROKEE, IA US",28/06/1960,1,0,0,27.8,16.1
USC00131442,"CHEROKEE, IA US",29/06/1960,10.9,0,0,26.7,13.3
USC00131442,"CHEROKEE, IA US",30/06/1960,0,0,0,21.7,15.6
USC00131442,"CHEROKEE, IA US",01/07/1960,0.8,0,0,25.6,8.3
USC00131442,"CHEROKEE, IA US",02/07/1960,0,0,0,28.9,16.7
USC00131442,"CHEROKEE, IA US",03/07/1960,0,0,0,27.2,12.2
USC00131442,"CHEROKEE, IA US",04/07/1960,0,0,0,26.7,8.9
USC00131442,"CHEROKEE, IA US",05/07/1960,0,0,0,25.6,12.2
USC00131442,"CHEROKEE, IA US",06/07/1960,0,0,0,26.7,8.9
USC00131442,"CHEROKEE, IA US",07/07/1960,0,0,0,27.8,7.8
USC00131442,"CHEROKEE, IA US",08/07/1960,0,0,0,28.9,10.6
USC00131442,"CHEROKEE, IA US",09/07/1960,0,0,0,28.3,18.3
USC00131442,"CHEROKEE, IA US",10/07/1960,0,0,0,30.6,19.4
USC00131442,"CHEROKEE, IA US",11/07/1960,0,0,0,34.4,21.1
USC00131442,"CHEROKEE, IA US",12/07/1960,16.3,0,0,31.1,19.4
USC00131442,"CHEROKEE, IA US",13/07/1960,8.1,0,0,26.1,15
USC00131442,"CHEROKEE, IA US",14/07/1960,0,0,0,25.6,10
USC00131442,"CHEROKEE, IA US",15/07/1960,0,0,0,27.2,12.8
USC00131442,"CHEROKEE, IA US",16/07/1960,0,0,0,29.4,14.4
USC00131442,"CHEROKEE, IA US",17/07/1960,0,0,0,29.4,13.3
USC00131442,"CHEROKEE, IA US",18/07/1960,32.5,0,0,28.9,15
USC00131442,"CHEROKEE, IA US",19/07/1960,0,0,0,29.4,15.6
USC00131442,"CHEROKEE, IA US",20/07/1960,0,0,0,32.2,16.1
USC00131442,"CHEROKEE, IA US",21/07/1960,0,0,0,32.8,20.6
USC00131442,"CHEROKEE, IA US",22/07/1960,0,0,0,33.9,20
USC00131442,"CHEROKEE, IA US",23/07/1960,0,0,0,33.3,18.9
USC00131442,"CHEROKEE, IA US",24/07/1960,0,0,0,31.7,18.3
USC00131442,"CHEROKEE, IA US",25/07/1960,0,0,0,32.2,18.9
USC00131442,"CHEROKEE, IA US",26/07/1960,0,0,0,30,17.2
